         4715341 function calls (4704452 primitive calls) in 2.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
  112/100    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
       13    0.000    0.000    0.000    0.000 bigint.py:154(__mul__)
     2139    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
    50/13    0.000    0.000    0.000    0.000 groth_protocol.py:244(json_to_list)
        1    0.000    0.000    0.000    0.000 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 numeric.py:2882(extend_all)
       12    0.000    0.000    0.000    0.000 zpoly.py:799(__mul__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:954(_register_types)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zfield.py:135(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       17    0.000    0.000    0.000    0.000 zfield.py:499(__iadd__)
       19    0.000    0.000    0.000    0.000 nosetester.py:554(_numpy_tester)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        4    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       22    0.000    0.000    0.000    0.000 zpoly.py:245(norm)
       12    0.000    0.000    0.000    0.000 polynomial.py:1076(__init__)
       34    0.000    0.000    0.000    0.000 random.py:240(randint)
       18    0.000    0.000    0.000    0.000 core.py:994(__init__)
       27    0.000    0.000    0.000    0.000 core.py:918(__init__)
       90    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ecc.py:151(init_constants)
        1    0.000    0.000    0.000    0.000 zfield.py:169(add_field)
       34    0.000    0.000    0.000    0.000 random.py:177(randrange)
       17    0.000    0.000    0.000    0.000 zpoly.py:706(zero)
       99    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      217    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
       19    0.000    0.000    0.000    0.000 nosetester.py:157(__init__)
        1    0.000    0.000    0.000    0.000 z2field_element.py:235(inv)
       10    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:258(load)
        4    0.000    0.000    0.000    0.000 re.py:148(sub)
        3    0.000    0.000    0.000    0.000 __init__.py:193(dumps)
      241    0.000    0.000    0.000    0.000 sre_parse.py:150(append)
        6    0.000    0.000    0.000    0.000 numeric.py:941(convolve)
        1    0.000    0.000    0.000    0.000 nosetester.py:5(<module>)
       65    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:6264(__new__)
        4    0.000    0.000    0.000    0.000 ecc.py:167(p_zero)
       10    0.000    0.000    0.000    0.000 zfield.py:897(reduce)
       13    0.000    0.000    0.000    0.000 zfield.py:971(__init__)
        3    0.000    0.000    0.000    0.000 encoder.py:186(encode)
        2    0.000    0.000    0.000    0.000 __init__.py:294(loads)
        3    0.000    0.000    0.000    0.000 ecc.py:403(__init__)
        2    0.000    0.000    0.000    0.000 decoder.py:359(decode)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        7    0.000    0.000    0.000    0.000 zpoly.py:576(expand_to_degree)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8028(__init__)
      278    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       52    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        2    0.000    0.000    0.000    0.000 decoder.py:370(raw_decode)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
       13    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      233    0.000    0.000    0.000    0.000 sre_parse.py:138(__len__)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
